
26.10.2022. 17:34.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 45.0, 23.0. РћРїРµСЂР°С†РёСЏ 1. Р РµР·СѓР»СЊС‚Р°С‚ 68.0
26.10.2022. 17:38.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 56.0, 12.0. РћРїРµСЂР°С†РёСЏ 4. Р РµР·СѓР»СЊС‚Р°С‚ 4.666666666666667
26.10.2022. 17:46.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 90.0, 34.0. РћРїРµСЂР°С†РёСЏ 3. Р РµР·СѓР»СЊС‚Р°С‚ 3060.0
26.10.2022. 17:48.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 90.0, 45.0. РћРїРµСЂР°С†РёСЏ 4. Р РµР·СѓР»СЊС‚Р°С‚ 2.0
26.10.2022. 17:53.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 32.0, 34.0. РћРїРµСЂР°С†РёСЏ -. Р РµР·СѓР»СЊС‚Р°С‚ -2.0
26.10.2022. 17:55.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: (4+2j), (5+3j). РћРїРµСЂР°С†РёСЏ +. Р РµР·СѓР»СЊС‚Р°С‚ (9+5j)
26.10.2022. 17:58.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 45.0, 23.0. РћРїРµСЂР°С†РёСЏ *. Р РµР·СѓР»СЊС‚Р°С‚ 1035.0
26.10.2022. 18:02.         Введены числа: 90.0, 3.0. Операция /. Результат 30.0
26.10.2022. 18:04.         Введены числа: 60.0, 20.0. Операция +. Результат 80.0
26.10.2022. 18:05.         Р’РІРµРґРµРЅС‹ С‡РёСЃР»Р°: 45.0, 3.0. РћРїРµСЂР°С†РёСЏ *. Р РµР·СѓР»СЊС‚Р°С‚ 135.0
26.10.2022. 18:07.         Введены числа: 2.0, 3.0. Операция *. Результат 6.0
26.10.2022. 18:08.         Введены числа: 4.0, 5.0. Операция +. Результат 9.0
26.10.2022. 18:13.         Введены числа: 5.0, 5.0. Операция *. Результат 25.0
26.10.2022. 18:14.         Введены числа: 2.0, 2.0. Операция *. Результат 4.0
26.10.2022. 18:16.         Введены числа: 1.0, 1.0. Операция +. Результат 2.0
26.10.2022. 18:17.         Введены числа: 7.0, 7.0. Операция -. Результат 0.0
26.10.2022. 18:17.         Введены числа: 8.0, 8.0. Операция +. Результат 16.0
26.10.2022. 18:18.         Введены числа: 9.0, 9.0. Операция *. Результат 81.0
26.10.2022. 18:51.         Введены числа: 13.0, 13.0. Операция /. Результат 1.0
26.10.2022. 18:52.         Введены числа: 14.0, 14.0. Операция /. Результат 1.0
26.10.2022. 18:54.         Введены числа: 15.0, 15.0. Операция +. Результат 30.0
26.10.2022. 18:56.         Введены числа: 17.0, 17.0. Операция *. Результат 289.0
26.10.2022. 19:01.         Введены числа: 1.0, 2.0. Операция +. Результат 3.0
26.10.2022. 19:03.         Введены числа: 4.0, 4.0. Операция /. Результат 1.0
26.10.2022. 19:04.         Введены числа: 65.0, 56.0. Операция -. Результат 9.0
26.10.2022. 19:05.         Введены числа: 45.0, 54.0. Операция +. Результат 99.0
26.10.2022. 19:33.         Введены числа: 12.0, 21.0. Операция *. Результат 252.0
